Sample_ID,Tree_Species,BurnYear,Latitude,Longitude,Field_Office,BLM_Fire_Name,Tracking_Number,CHEM_alpha-pinene,CHEM_para-cymene,CHEM_alpha-terpineol,CHEM_cedr-9-ene,CHEM_alpha-cedrene,CHEM_beta-cedrene,CHEM_cis-thujopsene,CHEM_alpha-himachalene,CHEM_beta-chamigrene,CHEM_cuparene,CHEM_compound 1,CHEM_alpha-chamigrene,CHEM_widdrol,CHEM_cedrol,CHEM_beta-acorenol,CHEM_alpha-acorenol,CHEM_gamma-eudesmol,CHEM_beta-eudesmol,CHEM_alpha-eudesmol,CHEM_cedr-8-en-13-ol,CHEM_cedr-8-en-15-ol,CHEM_compound 2,CHEM_thujopsenal,Yield_percent,Bolt_Surface_Area_cm2,Raw_Exit_Holes_per_cm2,Raw_Exit_Holes,Living_Larvae,ChemTotal
CC1,Juniperus osteosperma,1998,38.2399,-112.8383,Cedar_City,Minersville,#5261 (1998),0.1,0.1,0.2,0.4,17.1,3.6,9.1,0.1,0.6,1.3,1,0.4,5.7,39.2,0,0,0.5,0.6,0.3,5.1,2.4,0.9,1.9,0.19,1831,5e-4,1,0,90.60000000000001
CC2,Juniperus osteosperma,1999,38.3633,-113.9149,Cedar_City,Meadow Spring,#5262 (1999),0,0.1,0,1.2,17.5,4.2,16.1,0.6,1.1,1.7,3.2,1,4.9,16.9,0,0,0.8,1,0.5,6.9,1.6,2.5,2.3,0.46,2675,0.0026,7,0,84.1
M1,Juniperus osteosperma,2000,38.6792,-109.2999,Moab,Fisher,#5263 (2000),0,3.4,3,1.1,4.9,2.1,36.9,0.6,1.6,3.6,2.8,1,8.3,4.6,0,0,3.2,3.8,1.6,1.5,0.8,1.4,1,0.42,1718,0,0,0,87.2
F1,Juniperus osteosperma,2001,39.3052,-112.0301,Fillmore,Substation,#5264 (2001),0,0.5,1.5,0.7,3.1,1.5,29.6,0.4,1,3.1,1.8,0.6,9,6.9,0,0,5.5,7.9,3,2.8,2.5,1.7,2.3,0.28,1086,0.0101,11,0,85.4
P1,Juniperus scopulorum,2002,39.7791,-110.8793,Price,Price Canyon,(2002),0,0,0,0,6.7,2,32.8,0,0.9,5.2,1.1,0.8,7.1,19.1,0,0,0,0.5,0.3,1.8,0.3,0.5,3.5,0.49,1482,0.0736,NA,NA,82.6
CC3,Juniperus osteosperma,2004,38.4009,-113.8894,Cedar_City,Vance,#5265 (2004),0,2.2,6.2,0.9,7.6,3,34.9,0.5,0.9,2.2,2,0.5,4.1,13.8,1.1,0.8,0,0.6,0.2,6.1,1.1,0.7,2.1,0.81,2012,0.004,8,0,91.5
CC4,Juniperus osteosperma,2005,38.0547,-113.1844,Cedar_City,Neck,#5266 (2005),1.9,0.7,1.1,1,19.2,4.8,15,0.4,1.3,2,2.9,1,7.9,15.7,0,0,1.7,1,0.5,5.6,1.1,1.5,1.5,0.37,1256,0.0279,35,0,87.8
SL2,Juniperus osteosperma,2007,40.952,-112.8348,Salt_Lake_2,Monarch,#5267 (2007),0.1,0.3,0.3,0.8,7.6,2.7,28.7,0.4,0.9,2.1,1.7,0.5,5.6,19,1.7,1.1,0,1.1,0.5,10,2.3,1,3.1,0.47,1716,0.0058,10,0,91.5
SL3,Juniperus osteosperma,2008,41.5442,-113.6921,Salt_Lake_3,Devil,#5268 (2008),0.1,0.2,0.1,0.9,35.5,7.6,15.9,0.4,1.4,1.9,2.7,1,4.3,16.4,0,0,0.6,0,0,2.3,0.8,0.6,0.7,0.77,2206,5e-4,1,0,93.39999999999999
SL4,Juniperus osteosperma,2009,39.9885,-113.1322,Salt_Lake_4,Engleman,#5269 (2009),0.2,0.6,1.1,0.5,8.6,2.9,14.4,0.3,0.5,1.7,0.8,0.3,2.9,37.3,0,0,3.2,4.8,1.6,6.4,1.6,0.9,1.8,0.43,1295,0.0054,7,0,92.39999999999999
SL6,Juniperus osteosperma,2011,39.9785,-113.1177,Salt_Lake_4,Nowhere,#5270 (2011),0.1,0.5,2.8,0.4,8.7,2.8,28.9,0.3,0.5,1.5,1,0.3,1.5,39.9,1.5,0.7,0,1.2,0.3,0.3,0.8,0.4,1.5,0.95,1580,0,0,0,95.89999999999999
SL7,Juniperus osteosperma,2012,40.8316,-112.4833,Salt_Lake_2,Shanty Canyon,#5271 (2012),0,0.1,0.1,0.3,9.4,1.8,9.3,0.2,1,2.1,1.9,0.8,9.6,14.6,0,0,1.4,1.1,0.6,17.2,3.4,2.3,2.4,0.54,1313,8e-4,1,0,79.6
SL8,Juniperus osteosperma,2013,41.5335,-113.7096,Salt_Lake_3,Playground,#5272 (2013),0.1,0.1,0.2,1,8.1,2.9,14,0.4,0.9,1.3,2.4,0.7,13.4,17.9,1.3,0,3,3.3,1.4,3.5,1.4,1.6,2,0.07,1726,0.0046,8,1,80.89999999999999
SL9,Juniperus osteosperma,2014,39.9422,-112.7181,Salt_Lake_4,Lion Peak,#5273 (2014),0.3,0.1,0.7,0.7,6.7,2.3,19.98,0.3,0.8,1.7,2.4,0,7.2,21.2,1,1,0,0.7,0.3,8.2,2.8,0.7,1.8,0.41,2794,0.0054,15,4,80.88
CC5,Juniperus osteosperma,2016,37.5799,-113.0851,Cedar_City,Hicks Creek,#5274 (2016),0.2,1.1,0.8,1.1,13.2,3.2,12.5,0.4,1.8,2.4,4.8,1.3,11.3,7.5,0,0,2.8,2,1.3,9.3,1.7,1.4,1.8,0.34,1866,0,0,0,81.9
SL11,Juniperus osteosperma,2017,40.9202,-113.0017,Salt_Lake_2,Knob,#5275 (2017),1.4,0.3,0.5,1,9.5,3.3,22.8,0.4,1.1,1.8,2.4,0.6,5.2,14.2,0,0,3.5,3.5,1.8,10.5,2.4,0.5,2.8,0.29,1236,0.0081,10,0,89.5
SL12,Juniperus osteosperma,2018,41.5719,-113.7488,Salt_Lake_3,Ridge,#5276 (2018),0.6,0.4,2.3,0.2,1.9,1.2,25.9,0.2,0.4,1.8,0.7,0,1,37.5,3.3,1.1,0,2,0.6,1.6,2.4,0,2.6,0.18,1687,0,0,0,87.7
